117	SOTUDIS	Distr matq traxau  /uKlics	41784	63025
118	PROgIM (15)	C. imie	60000	63000
119	STE ITALOvTNNE EhPLOITATION PETROLIERE	Mines énerQie	56024	62580
120	FUBA PRINTED CIRCUITS TUNISIE SA (10)	IEE	45400	61800
121	LES INDUSTRIES CHIMI- UES DU FLUOR	C. imie	65605	61092
122	BSB SA	Commerce Bureautipue	64000	61000
123	CIE TNNE PHARMACEUTI- UE	IndvP. armaceutipue	60000	61000
124	ASSURANCES BIAT	Assurances	50642	60241
125	LWACCUMULATEUR TUNISIEN ASSAD	Industrie	51725	60227
126	TRAPSA	Trans/ort Qa oduc	63200	59700
127	IGL DISTRIBUTION	Electripue Electronipue	46730	59034
128	GROUPE SMTI	LoQistipue Trans/ort	58334	58334
129	AIR LI- UIDE TUNISIE	C. imie	54378	57955
130	INDUSTRIELLE TEhTILES	Te tile	45104	57825
131	Y ASHING INTERNATIONAL CIE	Te tile	50000	56862
132	MANUFACTURE PRODUITS CHIMI- UES	C. imie	42534	56000
133	COMPTOIR NATIONAL TUNISIEN	Commerce	51000	56000
134	Ets Mq LOUgIL et Cie (7)	Commerce	45300	56000
135	MEUBLATEh INDUSTRIES (9)	Industrie	57017	55732
136	ECONOMIC AUTO (7)	Commerce	41200	55000
137	SOPAT(MLIHA)	IAA	45292	54884
138	STE COMMERCE INTERNAT TUNISIEvSCIT	NéQoce	52890	54190
139	STE NOUVELLE BOISSONS  SNB (2)	IAA	92136	53942
140	LABORATOIRE ADY bA	IndvP. armaceutipue	51071	53700
141	FLORUS DISTRIBUTION SARL	Industrie	51200	53000
142	CTAMA	Assurances	49691	52609
143	STE EL ATHIR		43000	52100
144	CIE TNNE RESSORTS LAMES (11)	Industrie	31487	51367
145	CONFISERIE TRIgI LE MOULIN	IAA	43011	50110
146	UNIPACg (4)	Industrie	43775	49940
147	STE ARABE IND PHARMACEUTI- UES	IndvP. armaceutipue	44700	49700
148	STE HIGHT MAGHREB TECHNOLOGb (8)		58000	49000
149	LLObD	Assurances	42622	48737
150	BONNA BETON MATERIAUh PREFABRI- UES	MCCV	43400	48700
151	STE CABLAGES VEHICULES	IEE	63119	48569
152	STE IND PHARMACEUTI- UE DE TUNISIE	IndvP. armaceutipue	45862	47238
153	SOCIETE LAIT DERIVES (2)	IAA	37751	47038
154	CAROSSERIES AUTO MATERIELS ELEVATEURS (11)	IME	38235	46470
155	MODERN LEASING	SerxvLeasinQ	39061	44790
156	SOCIETE NAT IMMOBILIERE TUNISIE	ImmoKilier	31100	44700
157	STE DE PRODq DWARTICLE LAITONvSOPAL	IndvMétallipue	38700	44700
158	STE TNNE MINOTERIE ET DE SEMOULERIE	IAA	40228	44383
159	STE BOISSONS TUNISIE (2)	IAA	41627	44287
160	STE IND CONSERVES ALIMENTAIRES SICAM	IAA	39809	44165
161	CIE TUNISIENNE  DE FORAGE	EnerQie	27351	44142
162	LES IND ALIMENTAIRES RANDA (8)	IAA	45000	44000
163	STE NAT CELLULOSE ET PAPIER ALFA	IndustrievCommerce	34728	42786
164	STE CONDITION HUILES OLIVES CHO	IAA	58646	42520
165	SOCIETE TRACTEURS DIESEL	CommercevIndustrie	34305	41958
166	STE REGION TRANSPORT GOUVERNORAT SFAh	Trans/ort	39169	41812
167	GROUPE MAGHREB MANAGEMENT INDUST	Industrie	24186	41657
168	TUNISIE LEASING	SerxvLeasinQ	36200	40718
169	STE INVESTq HOTELIERS EL MOURADI (9)	H' tellerie	48504	40455
170	SOTETEL	Télécommunications	31483	39618
171	TUNISIE AUTOROUTES	Serxices	33399	39319
172	STE REGIONALE IND LAITIERES bOGO	IAA	39894	39231
173	LES GRANDS MOULINS DE TUNIS	IAA	41500	39110
174	AGENCE TECHNI- UE TRANSPq TERRESTRE	Serxices	36029	39007
175	EL ATHIR SERVICES	Serxices	19362	39000
176	STE TNNE E- UIPEMENT	Commerce	38692	38781
177	BEST LEASE	SerxvLeasinQ	38000	38000
178	CAISSE PRETS SOUTIEN COLLECTq LOCALES	Serxices	31684	37860 (X)
179	TUNISAIR EhPRESS (5)	Trans/ort aérien	33085	37831
