Nom de l’entreprise	Activité	CA 2012	CA 2013
UNPA -L’EPI D’OR	I.A.A	110901	126092
MEDCOM (7)	Télécommunications	238000	126000
PROMOSPORT	Services	107331	126000
SLAMA FRERES (9)	I.A.A	155228	124658
STE TNNE FILTRES - MISFAT	Industrie/Véhicules	103850	123933
ELECTROSTAR (8)	Commerce/I.E.E	109093	121280
BSB SA	Commerce/Bureautique	94000	120770
ASSURANCE MUTUELLE ITTIHAD - AMI	Assurances	108000	118992
STE NAT CHEMINS FER TUNISIEN - SNCFT	Transport Ferroviaire	113146	117913
AGENCE TECHNIQUE TRANSPORTS TERRESTRES	Services/Transport	110102	117130
ELBENE	I.A.A	102835	117082
CIMENTS ARTIFICIELS TUNISIENS - COLACEM	M.C.C.V	105000	115000
SYPHAX AIRLINES	Transport aérien	31387	115000
INDUS ALIMENTAIRES TUNISIE- IAT (3)	I.A.A	102000	114500
ASSURANCES MAGHREBIA (11)	Assurances	101578	112015
CARTHAGO CERAMIC (1)	M.C.C.V	106938	111607
TUNISIE PROFILES ALUMINUM - TPR	ndustrie	92770	110452
ASTREE	Assurances	104937	109525
STE DEMCO INTER	Textile	62936	104303
SOCIETE LAIT ET DERIVES - SLD (2)	I.A.A	83229	103905
CHAABANE ET CIE (17)	BTP	80202	103425
CENTRALE LAITIERE DU NORD - LAINO (5)	I.A.A	94975	102513
STE TNNE ACCONAGE ET MANUTENTION - STAM	Services/Marchandises	99640	102205
STE COMMERCIAL PRODUITS CHIMIQUES - SCPC (15)	M.C.C.V	74167	101501
LES CIMENTS OUM EL KELIL	M.C.C.V	111564	100418
SAIDA FOOD TRADING (3)	I.A.A	-	100000
STE CONDITIONNEMENT HUILES OLIVES - CHO	I.A.A	64105	99415
CITY CARS - KIA	Industrie/Auto		97009
COMPTOIR GENÉRAL PHARMACEUTIQUE - COGEPHA	Ind/Pharmaceutique	99597	95785
STE TNNE INDUSTRIE PNEUMATIQUE - STIP	Ind/Pneumatique	103435	94810
TUNISAIR TECHNICS (6)	Transport aérien	108893	94034
MPC PROKIM (14)	Chimie	86000	93796
LES GRANDS ATELIERS DU NORD - GAN (1)	Industrie/Boiserie	87529	92298
LES VIGNERONS DE CARTHAGE	I.A.A	76597	92114
MODERN LEASING	Leasing	83520	88980
STE MEUNIERE TUNISIENNE- SMT (8)	I.A.A	77382	88969
CIE TNNE PHARMACEUTIQUE - COTUPHA	Ind-Pharmaceutique	80000	88000
ITALO-TNNE EXPLOITATION PETROLIERE - SITEP	Mines/Energie	81209	87955
TUNISAIR HANDLING (6)	Transport aérien	70798	87189
STE PROD ARTICLE EN LAITON - SOPAL	I.M.M	69000	87000
CHO CAMPANY	Industrie	53404	86777
TUNIS RE	Réassurance	77029	85878
CARTE	Assurances	76783	85008
LE MOTEUR (3)	Services	98384	84345
ACCUMULATEUR TUNISIEN ASSAD	Industrie	92700	83500
STE MODERNE CERAMIQUE - SOMOCER	M.C.C.V	80465	81095
LABORATOIRES ADWYA	Ind/Pharmaceutique	71156	80504	
SOCIETE TTS	Tourisme	73408	77500
SOTUDIS (18)	Ind/Services	70000	77500
MUTUELLE ASSURANCE ENSEIGNEMENT - MAE	Assurances	72781	77318
STE TNNE BOISSONS GAZEUSES - STBG (2)	I.A.A	74386	76067
CIE TNNE RESSORTS LAMES - COTREL (11)	Industrie	61963	74319
FUBA PRINTED CIRCUITS TUNISIE SA (10)	I.E.E	59520	72810
STE TNNE ENGRAIS CHIMIQUES - STEC	Chimie/Agriculture	69442	72542
LAND’OR	I.A.A	56343	71362
AGENCE FONCIERE HABITATION - AFH	Immobilier	77677	71149
STE TRACTEURS DIESEL - SOTRADIES	Commerce/Industrie	62000	70000
FLORUS DISTRIBUTION SARL	Industrie	68000	70000
STE INDUS. CONSERVES ALIMENTAIRES - SICAM	I.A.A	74000	69997
ECONOMIC AUTO (7)	Commerce	65000	69000
STE BOISSONS TUNISIE - SBT (2)	I.A.A	66371	68736
TRANSTU	Transport terrestre	67882	68679
PROSID	Sidérurgie	57428	66433
MEUBLATEX (12)	In/Meubles	65866	65866
ASSURANCES BIAT	Assurances	65485	65598
STE CONST METAL NAVALES INDUSTRIELLES - SOCOMENIN	I.M.M	63000	65000
LES INDUSTRIES CHIMIQUES DU FLUOR	Chimie	83541	64953
TRAPSA	Transport Gazoduc	62900	63800
LLOYD	Assurances	56760	63740
ARABE IND PHARMACEUTIQUES- SAIPH	Ind/Pharmaceutique	62667	63430
TUNISIE AUTOROUTES	Services	60485	62000
TAWASOL HOLDING	Ind/BTP	45000	61000
CTAMA	Assurances	56085	59852
SOPAT - MLIHA	I.A.A	59933	58602
UNIPACK (1)	Emballage	47519	57769
INDUSTRIELLE DES TEXTILES	Textile	64249	57421
IGL DISTRIBUTION (20)	I.E.E	65284	56948
MEUBLATEX INDUSTRIES (12)	Ind/Meubles	55588	55510
KIPROPHA (16)	Industrie	55144	55475
STE TNNE INDUS PAPIER ET CARTON	Industrie		55432
LES IND ALIMENTAIRES RANDA (8)	I.A.A	44770	55302
STE HIGHT MAGHREB TECHNOLOGY (8)	Commerce	48319	54946
STE BENETTON MANUFACTURING TUNISIA	Textile	61000	54547
BRASLAM (9)	I.A.A	107028	54195
LES CIMENTS DE BIZERTE	M.C.C.V	61135	52072
STE NAT IMMOBILIERE TUNISIE - SNIT	Immobilier	20548	51739
CONFISERIE TRIKI LE MOULIN (13)	I.A.A	51417	51717
SOCIETE CHAHIA (13)	I.A.A	50520	49820
SUPER CABLES	I.E.E	56989	49243
TTE INTERNATIONAL (10)	I.E.E	38153	49070
WASHING INTERNATIONAL CIE	Textile	46000	49000
TUNISAIR EXPRESS (6)	Transport aérien	46859	48758
CARTHAGE CEMENT	Industrie/MCCV	38136	48736
SERGAZ	Energie/Transport	45581	48370
STE BOISSON CAP BON - SBC (5)	I.A.A	39157	48220
CSM GIAS (9)	I.A.A	42726	47886
TUNISIE LEASING	Leasing	44100	47788
GENERALE ECHANGES INTERNATIONAUX - GEI (9)	Commerce	15443	47746
STE DISTRIBUTION BOISSONS (2)	I.A.A	38749	47480
LABORATOIRES TERIAK (16)	Ind/Pharmaceutique	47015	46766
STE COMMERCE INTERNATIONAL TUNISIE - SCIT	Négoce	48512	46600
