Nom de l’entreprise	Activité	CA 2012	CA 2013
HEXABYTE	TIC	4983	6396
GAT VIE	Assurances		6356
PLASTEKA	Plastique	7066	6197
AGRINVEST INTERNATIONAL	I.A.A	9232	6057
MEDICO-CHIRUGICAL	Commerce/Santé	4803	6037
MEDICARS (18)	Commerce		6000
PROSID CENTRE	Sidérurgie	4912	5993
STE TISSAGE VELOURS- STIVEL	Textile	5706	5733
STE DEMCO CONSTRUCTION	Industrie	2907	5668
INST NAT NORMALISATION PROP INDUSTRIELLE- INNORPI	Industrie	5243	5666
POLE GAZALA TECHNO COMMUNICATION	TIC	4625	5666
STE COLLECTE LAIT- SOCOLAIT (2)	I.A.A	4247	5656
STE LE MEUBLE	ndustrie	4221	5510
STE SERVICES MAITRISE RISQUES INDUSTRIELS	Services		5508
SIGMA CONSEIL	Sondage		5500	
PHILBERT TUNISIE	Industrie	5000	5400
SIDILEC INTERNATIONAL	I.E.E	4145	5298
STE EXPANSION LITERIE ET MATELASSERIE	Industrie	4931	5234
OFF. LOG. MAGISTRATS PERSONNEL MINISTERE JUSTICE	Services	1672	5072
INTERCOLOR	Chimie	4908	5054
TUNISIE FARINE (8)	I.A.A	5012	5042
NEW BODY LINE	Textile	6404	5026
STE MATERIAUX ET TRAVAUX PUBLIQUES	BTP	4000	5000
OFFICE DEVELOPPEMENT RJIM MAATOUG KEBILI	Services	3994	4894
PLASTIFILM S.A.	Industrie	4643	4851
BOULANGERIE VIENNOISERIE MEDITERRANENNE- BVM (8)	I.A.A	3793	4648
POLYTEX	Textile	4000	4600
STE DELFA	Textile	5500	4582
PARC ACTIVITES ECONOMIQUES BIZERTE	Export	4418	4577
STE REGIONALE TRANSPORT JENDOUBA	Transport terrestre	4343	4569
3C ETUDES	Sondage		4500
SERVIRAMA	TIC		4444
SOFCASUD (15)	M.C.C.V	3971	4412
AGENCE FONCIERE AGRICOLE	Services	4821	4395
METAL INDUSTRIE	I.M.M	4254	4388
AGENCE TNNE COOPERATION TECHNIQUE - ATCT	Services	3804	4315
ETS HATEM KRICHEN -EHK	I.M.M	3758	4301
IMMOBILIERE LA CONCORDE (18)	Immobilier	2400	4200
AFRICAINE COULEURS ET SERVICES- ACS (14)	Commerce	4000	4119
ABOU WALID TRADING	Industrie	6271	4094
LE CAVALIER	Textile	3779	4066
ENTREPRISE MOHAMED HSAN	Transport	2635	4064
DELTA PLASTIC (5)	Plastique	3783	3950
DES	Industrie	2586	3923
STE REGIONALE TRANSPORT KASSERINE	Transport terrestre	4107	3870
LE LOGEMENT	Immobilier	1808	3855
CIE GHORBEL EXPORTATION	Commerce	8034	3843
STTK HAMMAM BOURGUIBA (12)	Tourisme	4243	3835
STE TNNE DISTRIBUTION ET MANUTENTION (2)	I.A.A	2055	3766
SERVICOM	Télécommunications	6300	3740
SLAMA HUILES (9)	I.A.A	6073	3728
OMNIUM CHIMIQUE MAGHREBIN	Chimie	2893	3708
SE INFORMATIQUE ET TELEMATIQUE (2)	TIC		3617
L’EQUIPEMENT HYDRAULIQUE (8)	Equipement	4018	3616
BOMAR (18)	M.C.C.V	3200	3500
AGENCE NAT CERTIFI.ELECTRONIQUE-ANCE	Commerce	3034	3405
STE BELKHIRIYA INDUSTRIE-SBI ORMAZABAL	Industrie	2415	3350
STE ELAN PLUS	Cuir/Chaussures		3213
STE SACEMA	I.E.E	2526	3186
SIMONE TEXTILE	Textile	4819	3186
OFFICE LOGEMENTS PERSONNELS MINISTERE EDUCATION	Services	2478	3180
COMPAGNIE TUNISIE DE MEUBLE	Ind/Meuble	3042	3135
J&S.COM	Textile	2705	3124
FIMA	Industrie	2409	3121
SKYLLA	Textile	1342	3120
MANUFACTURE TNNE VERNIS- MTV (8)	Chimie	3638	3096
SPTM CAP MAHDIA (12)	Tourisme	2805	3042
STE TNNE TRICOTAGE ET CONFECTION	Textile	2835	3033
UNION FINANCIERE (11)	Finance	2220	2999
SOCIETE IMMOB NOTRE DAME (2)	Services	3804	2969
STE MISE VALEUR DEV.AGRICOLE «RAOUDHA» (2)	I.A.A	6032	2884
GHARIANI AUTO	Commerce/Auto	2618	2844
SOLUTIONS COMPOSITES	Industrie	2067	2837
B&B TRICOT	Textile	2458	2820
POLY PLAST	Industrie	4508	2800
SIED (19)	Emballage	8460	2638
CONSORTIUM IMMOBILIERE MAGHREBINE	Immobilier	10913	2601
DOMOTECH SA	Services	1886	2557
UNITED CHIMICAL PARTNERS- UCP (14)	Chimie	4000	2422
SOCIETE WIDED IMPORT EXPORT- WIDEX (8)	Commerce		2410
FRAMEL	Commerce	2361	2211
STE TOURISTIQUE MOURADI TOZEUR (12)	Tourisme	2741	2186
SLAMA FRUITS ET LEGUMES	I.A.A	1368	2161
BUANDERIE CENTRALE EL MOURADI (12)	Tourisme	2557	2125
ENFAVET INETRNATONAL	Textile	1677	2042
GROUPE ELLOUMI	I.E.E	2000000	2002000
GROUPE CHIMIQUE TUNISIEN	Chimie	1391000	1288000
STE TNNE DES IND RAFFINAGE  STIR	Pétrole/Dérivés	1225000	1135000
ENT.TNNE ACT.PETROLIERES- ETAP	Pétrole/Dérivés	1021378	813105
LEONI TUNISIA GROUP	I.E.E	650000	703000
NOUVELAIR	Transport aérien	450628	570450
GROUPE ONE TECH	I.E.E	262980	297380
JOHNSON CONTROLS TUNISIA	I.E.E	298457	288801
POULINA GROUP HOLDING	I.A.A	198245	201667
MANUFACTORING INTER.COMPAGNIE	Textile	141000	184000
GROUPE SLAMA	I.A.A		177239
GROUPE DEMCO	Textile	112762	174597
CIE TNNE NAVIGATION- CTN	Transport maritine	63460	151959
GROUPE SOTUPA SANCELLA	Commerce	99000	114000
STE DEMCO INTER	Textile	62936	104303
SAIDA FOOD TRADING	I.A.A		100000
UFI GROUP	Finance/Industrie/Tourisme	73165	96433
SANCELLA TUNISIE	Industrie	78600	96100
CIE TNNE DE RESSORTS A LAMES - COTEREL	Industrie	61963	74319
FUBA PRINTED CIRCUITS TUNISIE SA	I.E.E	59520	72810
GROUPE ABDENNADHER	M.C.C.V/I.A.A/Commerce	117150	72696
GROUPE ALLIANCE	Ind/Chimie/Tourisme	85000	62130
MPC PROKIM	Chimie		57933
STE BENETTON MANUFACTURING TUNISIA	Textile	60500	54547
BRASLAM	Commerce		54180
STE TNNE ELECTRICITE GAZ- STEG	Energie	40400	53400
STE CONST.METAL NAVALES INDUSTR	IME	51000	53000
GROUPE EURO CYCLE	Industrie	48522	50538
STE INTERNATIONAL	I.E.E	38153	49070
WASHING INTERNATIONAL CIE	Textile	46000	49000
SERGAZ	Energie	45581	48370
STE COMMERCE INTER TUNISIE	Négoce	48512	46600
INDUSTRIELLE DES TEXTILES	Textile	57824	45936
STE TNNE CHOCOLATERIE CONFISERIE - SOTUCHOC	I.A.A	41000	44000
STE TNNE MINOTERIE ET SEMOULERIE - SOTUMIS	I.A.A	41574	43728
MEDITTERRANEAN FOOD INDUSTRY	I.A.A	37482	39757
CONFECTION RAS JEBEL	Textile	33500	39500
GROUPE ATALANTA	Commerce	39111	35862
GROUPE STPA	Chimie-Electricité	23000	34000
TUNIS RE	Réassurance	27393	31191
TOPEKA	Textile	26723	31064
STE TNNE FILTRES- MISFAT	Industrie/Véhicules	24012	29672
CHRISTINE CONFECTION	Textile	22299	27896
CAIR TUNISIE	Ind/Pharmaceutique	27194	27461
UNPA (L’EPI D’OR)	I.A.A	14000	25847
TUNISIE PROFILES ALUMINUM -TPR	Industrie	21294	24340
STE INDUS.CONSERVES ALIMENT - SICAM	I.A.A	23992	24211
SLAMA FRERES	Industrie		23949
LA POSTE TUNISIENNE	Services	24549	23641
DEMCO KNITWEAR	Textile	17117	23441
STE TNNE VERRIERE - SOTUVER	Industrie	12600	23100
IND CAROSS. AUTO MATERIELS ELEVATEURS - SICAME	I.M.E	11202	22114
GROUPE TRIKI	I.A.A	26000	22000
FILATURE ITALIENNE	Textile	24598	21342
TECHNIPLAST INDUSTRIE	I.E.E	17430	20290
INDUSTRIES ALIMENTAIRES TUNISIE - IAT	I.A.A	21000	20000
NCI	M.C.C.V	14747	18792
COMAR	Assurances	19792	18533
SOFI PECHE	IAA	22400	18000
GROUPE OXIA	TIC	13938	17642
STE INDUSTRIELLE AMORTISSEURS -SIA	IIndustrie	15003	17429
ELEONETECH	I.E.E	15541	17290
GIAS INDUSTRIE	I.A.A		15339
CSM GIAS	I.A.A		14660
ISALYS	Textile	10891	14059
LES CIMENTS ENFIDHA	M.C.C.V	5000	14000
STE DEMCO	Textile		13997
OVER SEAS TRADING AND CONTRACTING	Commerce	27191	13924
GROUPE NOURI CHAABANE	BTP	6783	13896
SOCIETE TUNISIENNE BISCUITERIE - SOTUBI	I.A.A	13000	13500
SOMOCER	M.C.CV	15870	13270
TUNIMA SARL CHAUSSURES	Cuir/chaussures	11675	13220
VFB LINGERIE TUNISIE	Textile	15357	13015
CALEMBO	I.A.A	12800	13000
GROUPE GHALI	Industrie		12755
COMETE ENGINEERING	Services	10242	12562
CARTHAGO CERAMIC	M.C.C.V	16893	12487
ITALO-TNNE EXPLOITATION PETROL - SITEP	Mines/Energie	11632	12351
SOFAP	M.C.C.V	11875	12316
STE TUNISO-ANDALOUSE CIMENT BLANC-SOTACIB	M.C.C.V	4125	11821
LES CIMENTS DE JBEL EL OUST	M.C.C.V	3831	11726
LES CIMENTS D’OUM EL KELIL	M.C.C.V	6763	11604
STE CIMENTS  DE GABES	M.C.C.V	4124	11529
UNIPACK	Industrie	11061	11527
STE NOUVELLE ACCUMULATEUR NOUR	Industrie		10813
STE CONSERVE ALIMENTAIRE PRODUCTEUR CAP-BON	I.A.A	9351	10427
MB CONFECTION/SINCOTEX/SJP	Textile		10000
CHAABANE ET CIE	BTP	0	9796
BLEU DE SUD - BDS	Services	5185	9057
AGRI BUSINESS COMPANY (ABCO SIDI DAOUD)	I.A.A	6075	9010
GROUPE CIMENTS ARTIFICIELS TUNISIENS	M.C.C.V	4000	9000
CAP BON FRIGORIFIQUE PLUS	I.A.A	9418	8900
SOTEFI	Industrie/Papier	12892	8884
TEINTURERIE FINISSAGE MEDITERRANEENS	Textile	6671	8600
CAP BON FRIGORIFIQUE	I.A.A	10540	8271
STE D’EMBALLAGE DU SAHEL	Emballage	7837	7893
STE ARABE DES IND PHARMACEUTIQUES - SAIPH	Ind/Pharmaceutique	9183	7529
JAEGER CONTROLS TUNISIA SA	Industrie	5498	7229
GROUPEMENT INDUS  TRANSFORMATION -GIT	Commerce	3166	7193
GRANUPHOS SA	Chimie	22599	7157
MAMI	Textile	8424	7137
MEDITERRANEAN INDUSTRIEL GROUP- MIG	I.M.M	12000	6700
AL MAADEN	Industrie	2206	6645
SOCIETE FORUM LIVII	Textile	7596	6545
ALBATEX	Textile	19533	6424
PLASTIC SFAX	Emballage	4440	6250
CARTONNERIE TUNISIENNE	Industrie	4077	6247
ZITA	I.A.A		6179
STE CONGELATION PROD PÊCHE ET AGR	I.A.A	9641	6077
AGRINVEST INTERNATIONAL	I.A.A	9232	6057
STE PRODUC ARTICLE EN LAITON- SOPAL	I.M.M	4000	6000
AMC ERNST & YOUNG	Audit/Conseil	5300	5900
TUNISIE MICRO-INFORMATIQUE	TIC	1725	5835
STE DEMCO CONSTRUCTION	Industrie	2499	5668
CIE PHOSPHATES DE GAFSA	Mines	20000	5500
SIDILEC INTERNATIONAL	I.E.E	4145	5298
GROUPE IGL	TIC	7687	5204
STRAMIFLEX	Ind/Bois	5234	4997
MATERIEL INDUSTRIE BUREAUTIQUE - MIB	Commerce		4842
STEM	Emballage	5711	4825
DR.OETKER GIAS	I.A.A		4644
POLYTEX	Textile	4000	4600
SIGMA CONSEIL	Sondage		4600	
STE DELFA	Textile	5500	4582
CENTRALE MATERIEL EQUIPEMENT	Commerce	6783	4100
ABOU WALID TRADING	Industrie	6271	4094
DES	Industrie	2586	3923
CIE GHORBEL EXPORTATION	Commerce	8034	3843
MAHDIA CORSETERIE	Textile	2763	3636
STE TNNE EXPLOSIFS ET MUNITIONS	Industrie	1895	3534
LE CAVALIER	Textile	3377	3475
GROUPE ALMIA REFRIGERATION	Industrie	4335	3458
STE ELAN PLUS	Cuir/Chaussures		3213
STE SACEMA	I.E.E	2526	3186
SIMONE TEXTILE	Textile	4819	3186
SUPER CABLES	I.E.E	2093	3150
J§S.COM	Textile	2045	3124
FIMA	Industrie	2220	3121
SKYLLA	Textile	1342	3120
STE DETERGENTS DE TUNISIE- SODET	Chimie		3047
EL MAWASSIR	Plastique	3254	3019
3C ETUDES	Sondage		3000
STE TNNE INDUS PAPIER ET CARTON	Industrie		2935
SUPER MOUSSE	Industrie	2279	2900
STE TNNE TRICOTAGE ET CONFECTION	Textile	2835	2888
SLAMA HUILES	I.A.A		2873
LES GRANDS ATELIERS DU NORD	Industrie	2291	2777
SOCIETE NUTRITION ANIMALE- SNA	I.A.A		2727
GROUPE BONNA TUNISIE	BTP	2200	2700
SOCIETE COMMERCIALE TUNISIENNE	Transport/Services	3227	2663
CIE AFRICAINE DES PEINTURES	Chimie	4013	2469
GENERAL INDUS FILTRES- GIF	I.E.E		2400
DAMAK SHIPPING	Services	1216	2111
ALMIA REFRIGERATION	Industrie	2579	2065
ENFAVET INETRNATONAL	Textile	1677	2042
MEDCOM	Télécommunications		2000
STE INDUSTRIELLE DE MEDICAMENT	Ind/Pharmaceutique	1636	1805
SOTREGAMES - GABES	Transport	1464	1745
FITOLINA	Industrie	6918	1641
IND FABRICATION  COLLE ET DERIVES	Chimie	2345	1612
EL MAZRAA	I.A.A	1006	1597
STE COMMERCIALE PRODUITS CHIMIQUES- SCPC	M.C.C.V		1544
LES VIGNERONS DE CARTHAGE	I.A.A	1068	1424
ETS M. LOUKIL ET CIE	Commerce/Agriculture	2300	1400
GROUPE STIVEL	Textile	1365	1365
REGIONALE DES IND LAITIERES YOGO	I.A.A	1740	1094	
