Rang	Nom de l’entreprise	Activité	CA 2013	CA 2014	
379	ADVENTURE LAND PLATE FORME	Textile		9358
380	AVIATION IT SERVICES AFRICA- AISA	Transport	10946	9357
381	SITS SKANES BEACH  (11)	Tourisme	8406	9305
382	STE MATERIEL CLIMATISATION- SMC  (12)	Services	8486	9039
383	CITE NATIONALE  SPORTIVE	Services	8421	9019
384	SOTUDEX	I.A.A		9000
385	CAP BON FRIGORIFIQUE PLUS	I.A.A	8978	8987
386	INSTANCE NATIONALE TELECOMMUNICATIONS	TIC	8516	8942
387	SNIT NORD	Immobilier	7759	8942
388	CEREALIS	I.A.A	9412	8874
389	IGL INDUSTRIE  (20)	I.E.E	8912	8843
390	ABOU WALID TRADING	Industrie	4094	8843
391	PC RETAIL OUTLET- PRO  (20)	Distribution	7870	8804
392	GENERAL TRANSPORT INTERNATIONAL	Transport international	7990	8506
393	GENERALE PEINTURES ET ACCESOIRES- GPA  (15)	Industrie	7659	8451
394	GENERALE DE PRECONTRAINTE	M.C.C.V	6559	8434
395	CAP BON FRIGORIFIQUE	I.A.A	11193	8365
396	MEDICO-CHIRUGICAL	Commerce/Santé	6037	8343
397	VERSUS ALGERIE  (20)	I.E.E	6899	8310
398	CENTRE PIECES INDUST AUTOMOBILE- CPIA	Commerce	7581	8170
399	AGENCE REHABILITATION RENOVATION URBAINE-ARRU	Services	7402	8145
400	AL MAADEN	Industrie	7200	8100
401	STE TNNE ACCUMULATEUR NOUR- STA	Industrie	4151	8052
402	MAGHREB INTERNATIONAL PUBLICITE	Services	7898	8023
403	COMETE IMMOBILIERE	Immobilier	10000	7965
404	FITOLINA	Industrie	9504	7961
405	AGRINVEST INTERNATIONAL	I.A.A	6057	7887
406	GEI  (10)	Commerce	47746	7851
407	GAT VIE	Assurances	6356	7798
408	STE TNNE DISTRIBUTION MANUTENTION  (2)	I.A.A	3766	7781
409	STE NEBIHA STORY	Textile		7763
410	STE EL MOURADI POUR LE COMMERCE  (11)	Commerce	7942	7718
411	GROUPE STIVEL	Textile	7927	7693
412	PLASTEKA	Plastique	7316	7680
413	SOTECA ELECTRIC	I.E.E	6251	7563
414	SOCIETE FORUM LIVII	Textile	6545	7534
415	VARAT TUNISIE	I.E.E	5461	7512
416	ZITA  (10)	I.A.A	19225	7306
417	HEXABYTE	TIC	6396	7149
418	GROUPE APEM TUNISIE	I.E.E	6078	7148
419	SOTUPA	Commerce	7200	7100
420	STE REGIONALE TRANSPORT BEJA- SRTB	Transport terrestre	7266	7069
421	STPA	Industrie	5974	7036
422	STMT  (17)	Transport	6502	7034
423	EQUIPEMENT HYDRAULIQUE- EQPH   (8)	Equipement	3616	7018
424	BETON MANUFACTURE DU SUD	M.C.C.V	6870	6964
425	AGENCE TUNISIENNE SOLIDARITE	Services	5774	6937
426	SLAMA HUILES  (10)	I.A.A	3728	6912
427	MONDIAL EQUIPEMENTS MATERIELS  ALIMENTAIRES-MODEMA	Equipement	8300	6850
428	DAMAK SHIPPING	Services	7066	6840
429	KINGFLEX  KAIROUAN	Ind/Pharmaceutique	6681	6766
430	NEW BODY LINE	Textile	5026	6755
431	SOCIETE AL KHOUTAF ONDULE	Industrie	6659	6567
432	STE SERVICES MAITRISE RISQUES INDUS- AMAL SERVICES	Services	5871	6509
433	STE MISE VALEUR DEV.AGRICOLE «RAOUDHA»  (2)	I.A.A	2884	6244
434	STE COLLECTE LAIT - SOCOLAIT  (2)	I.A.A	5656	6202
435	SIDILEC INTERNATIONAL	I.E.E	5298	6094
436	INOPLAST LOISIRS  (8)	Plastique	7161	6068
437	GENERAL EQUIPEMENT ELECTRIQUE- GEELEC	Equipement	1100	6000
438	CAT TRANSPORT	Transport	7000	6000
439	STE LES PYRAMIDES	Immobilier		6000
440	BOULANGERIE VIENNOISERIE MEDITERRANENNE- BVM   (8)	I.A.A	4648	5917
441	COMETE ENGINEERING	Services	6591	5744
442	AGENCE IMMOBILIERE AGRICOLE	Services	4395	5658
443	3C ETUDES	Sondage	3000	5656
444	MESJED AISSA CONFECTION MACO	Textile	4914	5533
445	STE EXPANSION LITERIE ET MATELASSERIE	Industrie	5234	5524
446	PROSID CENTRE	Sidérurgie	5993	5506
447	SIGMA CONSEIL	Sondage	5500	5400
448	RAFFINERIE	Industrie/Energie	8344	5310
449	EL AMANA TAKAFUL	Assurances		5290
450	DR.OETKER GIAS EXPORT  (10)	I.A.A	4819	5226
451	STE DELFA	Textile	4582	5190
452	SERVITRAMA	TIC	4444	5188
453	PARC ACTIVITES ECONOMIQUES BIZERTE- PAEB	Export	4576	5028
454	STE REGIONALE TRANSPORT JENDOUBA	Transport terrestre	4569	4939
455	FRIES TUNISIE	Textile	4144	4922
456	STTK HAMMAM BOURGUIBA  (11)	Tourisme	3835	4881
457	DORRA INDUSTRIES MAGHREBINES ALIMENTAIRES- DIMA	I.A.A	4216	4834
458	METAL INDUSTRIE	I.M.M	4388	4814
459	PHILBERT TUNISIE	Industrie	5400	4800
460	TUNISIE FARINE   (8)	I.A.A	5042	4691
461	STE TUNISIENNE EQUIPEMENT- STE	Industrie	4217	4618
462	STE LE MEUBLE	Industrie	4938	4614
463	CONSTRUCT	Ind/Bois	6530	4524
464	MB CONFECTION	Textile	5585	4514
465	AT-TAKAFULIA	Assurances		4501
466	AFRICAINE COULEURS ET SERVICES - ACS  (15)	Commerce	4119	4493
467	LABORATOIRE CENTRALE ANALYSES ET ESSAIS	Services	4349	4443
468	AGENCE TNNE COOPERATION TECHNIQUE-ATCT	Services	4315	4333
469	MAHDIA CORSETERIE- MAHDCO	Textile	3636	4 296
470	LE CAVALIER	Textile	4066	4274
471	JAEGER CONTROLS TUNISIA SA	Industrie	7138	4100
472	SERVICOM	Télécommunications	3740	4073
473	STE REGIONALE TRANSPORT KASSERINE	Transport terrestre	3870	4048
474	GENERALE EQUIPEMENTS MEDICAUX INDUSTRIELS	Commerce/Services		4045
475	DELTA PLASTIC  (5)	Plastique	3950	4035
476	STE MATERIAUX TRAVAUX PUBLICS	BTP	4000	4000
477	AFRIKISOL INDUSTRIE	Services/Industrie	1833	3942
478	ETS HATEM KRICHEN-EHK	I.M.M	4122	3756
479	GHARIANI AUTO	Commerce/Auto	3487	3707
480	GROUPEMENT INDUSRIES TRANSFORMATION- GIT	Commerce	7205	3706
481	CHRISTINE FASHION	Textile	3227	3686
482	SOFCASUD  (17)	M.C.C.V	4412	3608
483	UNITED CHIMICAL PARTNERS - UCP  (15)	Chimie	2422	3541
484	SKYLLA	Textile	3120	3519
485	STE SACEMA	I.E.E	3016	3518
486	SPTM CAP MAHDIA  (11)	Tourisme	3042	3452
487	DES	Industrie	3919	3391
488	MANUFACTURE TNNE VERNIS- MTV   (8)	Chimie	3096	3296
489	FIMA	Industrie	3066	3159
490	ENTREPRISE MOHAMED HSAN	Transport	4064	3148
491	J§S.COM	Textile	3118	3130
492	STE DOUX FIL	Textile	4107	3119
493	POLY PLAST	Plastique	3300	3106
494	ISTITHMAR EQUIPEMENT	Commerce	2536	3069
495	STE TOURISTIQUE MOURADI TOZEUR  (11)	Tourisme	2186	3061
496	SIMONE TEXTILE	Textile	3186	2984
497	SOLUTIONS COMPOSITES	Industrie		2965
498	STE TRAVAUX AMENAGEMENT URBAIN ET RURAL- STAUR  (18)	Services	3200	2835
499	ROZATEX	Textile	2976	2820
500	FRAMEL	Commerce	2211	2800
501	STE MODERNE SANITAIRE-SOMOSUN (13)	Industrie		2787
502	AGENCE NATIONAL SECURITE INFORMATIQUE	Services	2468	2726
503	PAKA SARL	Industrie	2649	2660
504	UNION FINANCIERE  (12)	Finances	2999	2598
505	OFF.LOG PERSONNELS MINISTERE EDUCATION	Services	2535	2585
506	DOMOTECH SA	Services	3033	2570
507	MOUNA CONFECTION	Textile	2335	2495
508	SAVOLINE	Industrie		2449
509	SAMELEC	I.E.E	1952	2375
510	ALMIA NEGOCE	Négoce		2330
511	STE TNNE DES PLASTIQUES	Plastique		2328
512	TUSALCO  (10)	I.A.A	739	2324
513	SANCELLA TRADING	Industrie	1200	2300
514	ITT DISTRIBUTION  (10)	Négoce	1577	2296
515	FIN WIDED  (8)	I.A.A	0,749	2273
516	BUANDERIE CENTRALE EL MOURADI  (11)	Tourisme	2125	2204
517	SIBOALL	Ind/Bois	1082	2129
518	STE MODERNE CUIRS ET PEAUX- SMCP	Industrie	2029	2016
1	GROUPE ELLOUMI	I.E.E	2002000	2002000
2	GROUPE CHIMIQUE TUNISIEN	Chimie	1288000	1450000
3	STE TNNE IND RAFFINAGE- STIR	Pétrole/Dérivés	1135000	1017000
4	ENTREPRISE TNNE ACTIVITE PETROLIERES- ETAP	Pétrole/Dérivés	813105	821133
5	LEONI TUNISIA GROUP	I.E.E	703000	751000
6	NOUVELAIR	Transport aérien	570450	593268
7	GROUPE BENETTON	Commerce/Textile	330171	352669
8	GROUPE ONE TECH	I.E.E/TIC	297380	321105
9	STE CHIMIQUE ALKIMIA	Chimie	202921	195940
10	POULINA GROUP HOLDING	I.A.A/Ind/Services/TIC	201667	194927
11	MANUFACTORING INTERNATIONAL COMPANY- MIC	Textile	184000	191623
12	GROUPE DEMCO	Textile	171905	140759
13	GROUPE SLAMA	I.A.A/Commerce	177239	123701
14	GROUPE DEMCO INTER	Textile	142952	111418
15	GROUPE LOUKIL	Ind/TIC/Services	91000	108000
16	GROUPE SOTUPA SANCELLA	Commerce	97200	96600
17	UFI GROUP	Finance/Industrie/Tourisme	96433	93987
18	GROUPE ABDENNADHER	M.C.C.V/I.A.A/Commerce	72696	83155
19	CIE TNNE NAVIGATION - CTN	Transport maritime	67375	67746
20	GROUPE ALLIANCE	Industrie/Commerce	62130	65520
21	GROUPE EURO CYCLE	Industrie	50538	64132
22	GROUPE ASSAD	Industrie	54700	62100
23	GROUPE HAMMAMI	M.C.C.V	39213	61746
24	STE  ARTICLE HYGIENE-LILAS	Industrie/Santé	62612	54532
25	STE COMMERCE INTERNATIONAL TUNISIE- SCIT	Négoce	46600	51000
26	GROUPE HAMROUNI	Industrie/Chimie		50000
27	MEDITTERRANEAN FOOD INDUSTRY- MFI	I.A.A	43000	50000
28	COMET	Industrie	47100	49960
29	INDUSTRIELLE DES TEXTILES	Textile	49558	49265
30	GROUPE NOURI CHAABANE	BTP/Hôtellerie/Commerce	13896	48301
31	WASHING INTERNATIONAL COMPANY- WIC	Textile	49000	46541
32	STE TNNE MINOTERIE SEMOULERIE- SOTUMIS	I.A.A	43728	45614
33	SERGAZ	Energie	48370	43194
34	STE TNNE CHOCOLATERIE CONFISERIE- SOTUCHOC	I.A.A	44000	42000
35	ORANGE TUNISIE	Télécommunications	40200	37700
36	TUNIS RE	Réassurance	31191	36204
37	CONFECTION RAS JEBEL	Textile	39500	35785
38	CAIR TUNISIE	Ind/Pharmaceutique	27461	31117
39	GROUPE TRIKI	I.A.A	22000	30000
40	GROUPE DEMCO KNITWEAR	Textile	28953	29341
41	STE ALTRAD CEDRIA	I.M.M	25000	28250
42	STE TUNISIENNE FILTRES- MISFAT	Industrie/Véhicules	29672	28038
43	STE TNNE INDUSTRIE PNEUMATIQUE- STIP	Ind/Pneumatique	36070	27898
44	TOTAL TUNISIE	Pétrole/Dérivés	30106	26819
45	STE TUNISIENNE VERRIERE - SOTUVER	Industrie	23107	26630
46	STE CONST METAL NAVALES INDUSTRIELLES- SOCOMENIN	I.M.M	35700	26600
47	SOFI PECHE	I.A.A	18284	26517
48	TUNISIE PROFILES ALUMINUM- TPR	Industrie	24340	26205
49	CHRISTINE CONFECTION	Textile	27896	26094
50	LES CIMENTS ENFIDHA	M.C.C.V	14000	26000
51	TOPEKA	Textile	31064	25589
52	GROUPE ATALANTA	Commerce	35862	25530
53	LES CIMENTS JBEL EL OUST	M.C.C.V	11726	25489
54	GROUPE ABOU WALID	Industrie	11811	24313
55	GROUPE LES CIMENTS ARTIFICIELS TUNISIENS	Chimie	9000	23000
56	CIMENTS ARTIFICIELS TUNISIENS- COLACEM	M.C.C.V	9000	23000
57	LA POSTE TUNISIENNE	Services	23641	22402
58	STE CIMENTS  DE GABES	M.C.C.V	11529	20090
59	LES CIMENTS OUM EL KELIL- CIOK	M.C.C.V	11604	20000
60	STE TUNISO-ANDALOUSE CIMENT BLANC- SOTACIB	M.C.C.V	11821	19601
61	IND. ALIMENTAIRES TUNISIE- IAT	I.A.A	20000	19000
62	TRAPSA	Transport Gazoduc	20700	18200
63	CALEMBO	I.A.A	17000	18000
64	STE TNNE ELECTRICITE GAZ- STEG	Energie	53400	17800
65	FOCUS	TIC	13415	15591
66	STE INDUSTRIELLE AMORTISSEURS- SIA	Industrie	17429	15251
67	GROUPE DELICE	I.A.A		14967
68	OFFICE NATIONAL HUILE- ONH	I.A.A	43000	14600
69	SOFAP	M.C.C.V	12316	14524
70	FILATURE ITALIENNE	Textile	21342	14488
71	COGITEL	Emballage	18065	14438
72	STE NOUVELLE ACCUMULATEUR NOUR- SNA	Industrie	7068	14093
73	ISALYS	Textile	14059	13750
74	SOTEFI	Ind/Papier	8884	13468
75	TUNIMA SARL CHAUSSURES- TUNIMAC	Cuir/Chaussures	13300	13350
76	CIE PHOSPHATES GAFSA- CPG	Mines	5500	13300
77	STE TUNISIENNE BISCUITERIE- SOTUBI	I.A.A	13500	13000	
78	GRANUPHOS SA	Chimie	7157	12146
79	STE ITALO-TNNE EXPLOITATION PETROLIERE- SITEP	Mines/Energie	12351	11714
80	GROUPE GHALI	Industrie	8369	11300
81	LAND’OR	I.A.A	18830	11014
82	OVER SEAS TRADING AND CONTRACTING- OSTC	Commerce	13924	11002
83	UNPA- L’EPI D’OR	I.A.A	25847	10917
84	CENTRALE MATERIEL EQUIPEMENT	Commerce	4100	10867
85	SOBITEX	Textile	7935	10607
86	ENERSYS ASSAD	Industrie	10100	10500
87	COMEX	Commerce		10000
88	ENFAVET INTERNATIONAL	Textile	9277	9787
89	COMETE	Services	12016	9524
90	STE CONGELATION PROD PÊCHE ET AGR- SOCEPA	I.A.A	6327	9495
91	ADVENTURE LAND PLATE FORME	Textile		9358
92	MODERNE CONFECTION	Textile		9000
93	SOTUDEX	I.A.A		9000
94	CAP BON FRIGORIFIQUE PLUS	I.A.A	8978	8987
95	STE PROD. ARTICLE EN  LAITON- SOPAL	I.M.M	6000	8700
96	STE EMBALLAGE DU SAHEL	Emballage	7893	8682
97	UNIPACK	Industrie	11527	8653
98	TUNISAVIA	Transport aérien	13600	8394
99	GROUPE AMORIM	Industrie	7829	8238
100	AGRINVEST INTERNATIONAL	I.A.A	6057	7887
101	SOMEF-TUNISIE	I.E.E	8600	7700
102	SOCIETE FORUM LIVII	Textile	6545	7534
103	GROUPE APEM TUNISIE	I.E.E	6078	7148
104	MAMI	Textile	7137	7025
105	PLASTIC SFAX	Emballage	6250	7000
106	AMC ERNST & YOUNG	Audit/Conseil	5900	6800
107	AIR LIQUIDE TUNISIE	Chimie	11027	6602
108	LES CIMENTS DE BIZERTE	M.C.C.V	3831	6594
109	CARTONNERIE TUNISIENNE	Industrie	6247	6133
110	OFFICE PLAST	Commerce		6131
111	SIDILEC INTERNATIONAL	I.E.E	5298	6094
112	IGL DISTRIBUTION	I.E.E	5240	6084
113	STE  INDUSTRIELLE TRANSFORMATION-SIT	Industrie	5520	5690
114	MESJED AISSA CONFECTION MACO	Textile	4914	5533
115	MEDITERRANEAN INDUSTRIEL GROUP- MIG	I.M.M	6700	5200
116	STE DELFA	Textile	4582	5190
117	3C ETUDES	Sondage		5161
118	EMBALLAGES METALLIQUES SFAX- EMS	M.C.C.V	7631	4937
119	FRIES TUNISIE	Textile	4144	4922
120	MB CONFECTION	Textile	5585	4514
121	GROUPE ALMIA REFRIGERATION	Indutrie	3458	4500
122	STE DETERGENTS TUNISIE-SODET	Chimie	3047	4468
123	MAHDIA CORSETERIE- MAHDCO	Textile	3636	4 296
124	VARAT TUNISIE	I.E.E	2767	4179
125	JAEGER CONTROLS TUNISIA SA	Indutrie	7138	4100
126	GROUPE KILANI	M.C.C.V/Cosmétique	3500	3932
127	COMETE ENGINEERING	Services	3783	3824
128	STE TNNE INDUS PAPIER ET CARTON	Industrie	2935	3714
129	GROUPEMENT INDUSRIES TRANSFORMATION- GIT	Commerce	7193	3697
130	CHRISTINE FASHION	Textile	3227	3686
131	CONSTRUCT	Ind/Bois	4939	3675
132	LE CAVALIER	Textile	3475	3634
133	SKYLLA	Textile	3120	3519
134	STE SACEMA	I.E.E	3016	3518
135	DES	Industrie	3919	3391
136	STE TNNE EMAIL- SOTEMAIL	Industrie	1160	3163
137	J§S.COM	Textile	3118	3130
138	STE TNNE ACCUMULATEUR NOUR- STA	Industrie	1300	3103
139	FIMA	Industrie	2909	3049
140	STPA	Industrie	2326	3046
141	SIMONE TEXTILE	Textile	3186	2984
142	ROZATEX	Textile	2976	2820
143	GIF FILTER	I.M.M	1485	2800
144	MOUNA CONFECTION	Textile	2335	2495
145	AL MAADEN	Industrie	2600	2400
146	INDUSTRIE GENERALI TUNISIA	Industrie		2266
147	FRAMEL	Commerce		2249
148	CIE AFRICAINE PEINTURES- CAP	Chimie	2469	2086
149	SOTREGAMES - GABES	Transport terrestre	1745	2078
150	TUNISIE MICRO-INFORMATIQUE	TIC	6000	2000
151	ETS HATEM KRICHEN-EHK	I.M.M	2055	1816
152	COTUPLAST	Plastique	1433	1599
153	GENERAL TRANSPORT INTERNATIONAL	Transport international	1717	1519
154	GROUPE BONNA TUNISIE	BTP	2200	1497
155	CRIT	Services	1435	1377
156	LES VIGNERONS DE CARTHAGE	I.A.A	1424	1369
157	GROUPE STIVEL	Textile	1365	1273
158	ASTRAL	Chimie	2405	1254
159	PFIZER TUNISIE	Ind/Pharmaceutique	2400	1200
160	STE MODERNE CUIRS ET PEAUX- SMCP	Industrie	1262	1033
