Rang	Nom de l’entreprise	Activité	CA 2013	CA 2014	
55	ARTES RENAULT TUNISIE	Commerce/Services/Auto	182120	159008
56	COMAR	Assurances	154458	157472
57	STE STATIONS THERMALES EAUX MINERALES - SOSTEM (2)	I.A.A	127656	155349
58	SANCELLA TUNISIE	Industrie	151000	151000
59	OFFICE MARINE MARCHANDE ET PORTS-OMMP	Transport maritime	136800	148200
60	STE NAT CHEMINS FER TUNISIEN- SNCFT	Transport ferroviaire	136405	147599
61	STE TUNISIENNE BISCUITERIE- SOTUBI (3)	I.A.A	134500	139700
62	STE TUNISO-ANDALOUSE CIMENT BLANC- SOTACIB	M.C.C.V	128451	136253
63	CIMENTS ARTIFICIELS TUNISIENS- COLACEM	M.C.C.V	115000	134000
64	GAT	Assurances	131983	132926
65	CENTRALE LAITIERE NORD OUEST-LAINO (5)	I.A.A	102513	130371
66	BSB SA	Commerce/Bureautique	92753	127801
67	STE TUNISIENNE FILTRES- MISFAT	Industrie/Véhicules	123933	127488
68	ASSURANCE MUTUELLE ITTIHAD- AMI	Assurances	118992	123885
69	AGENCE TECHNIQUE TRANSPORTS TERRESTRES	Services/Transport	117130	123000
70	ASSURANCES MAGHREBIA (12)	Assurances	112016	120484
71	INDU ALIMENTAIRES TUNISIE- IAT (3)	I.A.A	114500	119600
72	STE TNNE ACCONAGE ET MANUTENTION - STAM	Services/Marchandises	102205	119182
73	MEDCOM (6)	Télécommunications	126000	118000
74	ASTREE	Assurances	109525	117918
75	SLAMA FRERES (10)	I.A.A	125549	117720
76	CITY CARS - KIA	Commerce/Services/Auto	96956	116852
77	UNPA- L’EPI D’OR	I.A.A	131739	116227
78	ELBENE	I.A.A	117082	115715
79	CHAABANE ET CIE (19)	BTP	113221	112773
80	TUNISAIR TECHNICS	Transport aérien	94034	112516
81	TUNISIE PROFILES ALUMINUM- TPR	Industrie	110452	111877
82	LES CIMENTS OUM EL KELIL- CIOK	M.C.C.V	100418	109000
83	MANUFACTURE TABACS KAIROUAN- MTK	I.A.A	98324	108937
84	LES GRANDS ATELIERS DU NORD - GAN (1)	Industrie/Bois	92298	108638
85	CARTHAGO CERAMIC (1)	M.C.C.V	111607	107687
86	LE MOTEUR (3)	Services	84345	100000
87	COMPTOIR GENERAL PHARMACEUTIQUE- COGEPHA	Ind/Pharmaceutique	96672	99127
88	MPC PROKIM (15)	Chimie	93796	97902
